"Title","itemcode","categorycode","pillarcode","guidecode","statement","defaultrequired","defaultcritical","sortorder"
"Experienced in monitoring schedule overruns and...","t13c","NUCLEAR-TECH-SCHEDULE-MANAGEMENT","NUCLEAR-TECH","NUCLEAR","Experienced in monitoring schedule overruns and implementing mitigation strategies.","Yes","No","3"
"Provides timely, relevant, and solution-oriented updates...","c1a","NUCLEAR-COMP-MANAGING-UP","NUCLEAR-COMP","NUCLEAR","Provides timely, relevant, and solution-oriented updates to senior executives and internal leadership.","Yes","No","1"
"Comfortable briefing executives on both opportunities...","c1b","NUCLEAR-COMP-MANAGING-UP","NUCLEAR-COMP","NUCLEAR","Comfortable briefing executives on both opportunities and challenges, including delivery risks and mitigation plans.","Yes","No","2"
"Delivers executive-level presentations and reports with...","c1c","NUCLEAR-COMP-MANAGING-UP","NUCLEAR-COMP","NUCLEAR","Delivers executive-level presentations and reports with clarity, precision, and strategic relevance.","Yes","No","3"
"Tailors’ communication to address strategic interests of...","c1d","NUCLEAR-COMP-MANAGING-UP","NUCLEAR-COMP","NUCLEAR","Tailors’ communication to address strategic interests of senior leadership while ensuring operational realities are represented.","Yes","No","4"
"Ability to foster a positive and productive work...","c2a","NUCLEAR-COMP-CREATING-POSITIVE-AND-INCLUSIVE-","NUCLEAR-COMP","NUCLEAR","Ability to foster a positive and productive work environment for the team, remaining resilient through difficult times and energizing the team to stay engaged.","Yes","No","1"
"Creates a psychologically safe team environment where...","c2b","NUCLEAR-COMP-CREATING-POSITIVE-AND-INCLUSIVE-","NUCLEAR-COMP","NUCLEAR","Creates a psychologically safe team environment where open communication, feedback, and mutual respect are consistently encouraged.","Yes","No","2"
"Proven track record of leading, mentoring and coaching...","c2c","NUCLEAR-COMP-CREATING-POSITIVE-AND-INCLUSIVE-","NUCLEAR-COMP","NUCLEAR","Proven track record of leading, mentoring and coaching team members and promoting a culture of mutual respect and diversity of thought.","Yes","No","3"
"Encourages open communication and feedback among team...","c2d","NUCLEAR-COMP-CREATING-POSITIVE-AND-INCLUSIVE-","NUCLEAR-COMP","NUCLEAR","Encourages open communication and feedback among team members and builds a sense of community and belonging among team members across varied backgrounds and disciplines.","Yes","No","4"
"Extensive experience in managing [large-scale /...","c3a","NUCLEAR-COMP-BUILDING-HIGH-PERFORMING-TEAMS","NUCLEAR-COMP","NUCLEAR","Extensive experience in managing [large-scale / medium-scale] EPC projects with a team of X direct reports, functional support and sub-contractors.","Yes","No","1"
"Ability to convey project vision to the team and keep it...","c3b","NUCLEAR-COMP-BUILDING-HIGH-PERFORMING-TEAMS","NUCLEAR-COMP","NUCLEAR","Ability to convey project vision to the team and keep it alive through the ups and downs of a multi-year project.","Yes","No","2"
"Ability to resolve team conflicts constructively and...","c3c","NUCLEAR-COMP-BUILDING-HIGH-PERFORMING-TEAMS","NUCLEAR-COMP","NUCLEAR","Ability to resolve team conflicts constructively and maintain alignment with strategic project goals.","Yes","No","3"
"Sets high standards and motivates and coaches the team...","c3d","NUCLEAR-COMP-BUILDING-HIGH-PERFORMING-TEAMS","NUCLEAR-COMP","NUCLEAR","Sets high standards and motivates and coaches the team to achieve them, adapting leadership style to team dynamics and project phases.","Yes","No","4"
"Demonstrated ability to build and develop...","c3e","NUCLEAR-COMP-BUILDING-HIGH-PERFORMING-TEAMS","NUCLEAR-COMP","NUCLEAR","Demonstrated ability to build and develop high-performing teams and hold team members accountable for their performance.","Yes","No","5"
"Ability to create a structured environment so everybody...","c3f","NUCLEAR-COMP-BUILDING-HIGH-PERFORMING-TEAMS","NUCLEAR-COMP","NUCLEAR","Ability to create a structured environment so everybody knows their role and the project gets completed as efficiently as possible.","Yes","No","6"
"Experience delivering project reports, tracking...","c4a","NUCLEAR-COMP-COMMUNICATION-SKILLS","NUCLEAR-COMP","NUCLEAR","Experience delivering project reports, tracking milestones and ensuring all parties have access to relevant documents and information.","Yes","No","1"
"Fosters a “no surprise” communication style to ensure...","c4b","NUCLEAR-COMP-COMMUNICATION-SKILLS","NUCLEAR-COMP","NUCLEAR","Fosters a “no surprise” communication style to ensure leadership is made aware of positive and negative developments in a timely manner.","Yes","No","2"
"Presents technical and commercial project updates...","c4c","NUCLEAR-COMP-COMMUNICATION-SKILLS","NUCLEAR-COMP","NUCLEAR","Presents technical and commercial project updates clearly to executive leadership, ensuring alignment and decision-readiness.","Yes","No","3"
"Communicates confidently in high-stakes situations,...","c4d","NUCLEAR-COMP-COMMUNICATION-SKILLS","NUCLEAR-COMP","NUCLEAR","Communicates confidently in high-stakes situations, including defending company interests with clients or authorities.","Yes","No","4"
"Tailors messaging and communication style effectively...","c4e","NUCLEAR-COMP-COMMUNICATION-SKILLS","NUCLEAR-COMP","NUCLEAR","Tailors messaging and communication style effectively for different audiences—e.g., executives, clients, community groups, superintendents, segment managers, project managers, trades, subcontractors, suppliers and partners.","Yes","No","5"
"Communicates directly and does not shy away from tough...","c4f","NUCLEAR-COMP-COMMUNICATION-SKILLS","NUCLEAR-COMP","NUCLEAR","Communicates directly and does not shy away from tough conversations.","Yes","No","6"
"Communicates complex technical challenges and solutions...","c4g","NUCLEAR-COMP-COMMUNICATION-SKILLS","NUCLEAR-COMP","NUCLEAR","Communicates complex technical challenges and solutions to non-technical stakeholders clearly and persuasively.","Yes","No","7"
"Maintains clear, structured communication to keep the...","c4h","NUCLEAR-COMP-COMMUNICATION-SKILLS","NUCLEAR-COMP","NUCLEAR","Maintains clear, structured communication to keep the broader team aligned with project vision and evolving priorities.","Yes","No","8"
"Leads organizational and project-level change...","c5a","NUCLEAR-COMP-CHANGE-MANAGEMENT","NUCLEAR-COMP","NUCLEAR","Leads organizational and project-level change initiatives with clear vision, structured planning, and stakeholder engagement.","Yes","No","1"
"Guides teams through change with empathy and clarity,...","c5b","NUCLEAR-COMP-CHANGE-MANAGEMENT","NUCLEAR-COMP","NUCLEAR","Guides teams through change with empathy and clarity, anticipating resistance and providing support to ease transitions.","Yes","No","2"
"Maintains focus and decisiveness amid uncertainty,...","c5c","NUCLEAR-COMP-CHANGE-MANAGEMENT","NUCLEAR-COMP","NUCLEAR","Maintains focus and decisiveness amid uncertainty, showing comfort operating without complete information or when conditions shift rapidly.","Yes","No","3"
"Has a growth mindset and embraces learning and iteration...","c5d","NUCLEAR-COMP-CHANGE-MANAGEMENT","NUCLEAR-COMP","NUCLEAR","Has a growth mindset and embraces learning and iteration through ambiguous or evolving project challenges.","Yes","No","4"
"Adapts leadership and communication styles to meet new...","c5e","NUCLEAR-COMP-CHANGE-MANAGEMENT","NUCLEAR-COMP","NUCLEAR","Adapts leadership and communication styles to meet new realities, stakeholder needs, or project phase transitions.","Yes","No","5"
"Demonstrates ability to pivot priorities and reconfigure...","c5f","NUCLEAR-COMP-CHANGE-MANAGEMENT","NUCLEAR-COMP","NUCLEAR","Demonstrates ability to pivot priorities and reconfigure delivery plans in response to external or internal disruptions.","Yes","No","6"
"Experience in root cause investigations, troubleshooting...","c6a","NUCLEAR-COMP-PROBLEM-SOLVING-INNOVATION","NUCLEAR-COMP","NUCLEAR","Experience in root cause investigations, troubleshooting project issues, minimizing disruptions and implementing effective solutions.","Yes","No","1"
"Follows up on actions to ensure high-stakes project...","c6b","NUCLEAR-COMP-PROBLEM-SOLVING-INNOVATION","NUCLEAR-COMP","NUCLEAR","Follows up on actions to ensure high-stakes project issues are resolved and implements sustainable solutions.","Yes","No","2"
"Demonstrates creativity in applying new technologies,...","c6c","NUCLEAR-COMP-PROBLEM-SOLVING-INNOVATION","NUCLEAR-COMP","NUCLEAR","Demonstrates creativity in applying new technologies, tools, or methodologies to improve delivery outcomes. Also encourages creativity and innovation within the project team.","Yes","No","3"
"Ability to manage conflicting production and safety...","c6d","NUCLEAR-COMP-PROBLEM-SOLVING-INNOVATION","NUCLEAR-COMP","NUCLEAR","Ability to manage conflicting production and safety priorities under pressure, ensuring both are met without compromising safety.","Yes","No","4"
"Identifies, assesses, manages and prioritizes project...","c7a","NUCLEAR-COMP-RISK-MANAGEMENT","NUCLEAR-COMP","NUCLEAR","Identifies, assesses, manages and prioritizes project risks throughout the lifecycle, from pre-contract to closeout.","Yes","No","1"
"Develops and implements effective risk mitigation...","c7b","NUCLEAR-COMP-RISK-MANAGEMENT","NUCLEAR-COMP","NUCLEAR","Develops and implements effective risk mitigation strategies that safeguard company interests and maintain compliance.","Yes","No","2"
"Balances risk versus opportunity in strategic decisions,...","c7c","NUCLEAR-COMP-RISK-MANAGEMENT","NUCLEAR-COMP","NUCLEAR","Balances risk versus opportunity in strategic decisions, considering contract terms, financial exposure, and operational implications.","Yes","No","3"
"Maintains oversight of safety and regulatory risk,...","c7d","NUCLEAR-COMP-RISK-MANAGEMENT","NUCLEAR-COMP","NUCLEAR","Maintains oversight of safety and regulatory risk, ensuring full compliance with industry and legislative requirements.","Yes","No","4"
"Understands and has operated within different...","c8a","NUCLEAR-COMP-COMMERCIAL-ACUMEN","NUCLEAR-COMP","NUCLEAR","Understands and has operated within different contractual models, Lump Sum, Target, others.","Yes","No","1"
"Understands commercial matters and manages contract...","c8b","NUCLEAR-COMP-COMMERCIAL-ACUMEN","NUCLEAR-COMP","NUCLEAR","Understands commercial matters and manages contract terms and commercial obligations to protect the company’s financial and legal interests.","Yes","No","2"
"Experience overseeing project commercial administration...","c8c","NUCLEAR-COMP-COMMERCIAL-ACUMEN","NUCLEAR-COMP","NUCLEAR","Experience overseeing project commercial administration including change orders, claims, and vendor negotiations.","Yes","No","3"
"Balances commercial priorities with operational...","c8d","NUCLEAR-COMP-COMMERCIAL-ACUMEN","NUCLEAR-COMP","NUCLEAR","Balances commercial priorities with operational constraints to ensure profitability without compromising quality or compliance.","Yes","No","4"
"Applies strong understanding of contract mechanisms to...","c8e","NUCLEAR-COMP-COMMERCIAL-ACUMEN","NUCLEAR-COMP","NUCLEAR","Applies strong understanding of contract mechanisms to secure favorable outcomes during disputes or negotiations.","Yes","No","5"
"Strong understanding of financial principles and budget...","c9a","NUCLEAR-COMP-FINANCIAL-ACUMEN","NUCLEAR-COMP","NUCLEAR","Strong understanding of financial principles and budget management and able to manage project finances and control costs.","Yes","No","1"
"Manages project budgets, forecasts, and actuals with...","c9b","NUCLEAR-COMP-FINANCIAL-ACUMEN","NUCLEAR-COMP","NUCLEAR","Manages project budgets, forecasts, and actuals with precision to ensure financial targets are met or exceeded.","Yes","No","2"
"Monitors and reports on project financial health,...","c9c","NUCLEAR-COMP-FINANCIAL-ACUMEN","NUCLEAR-COMP","NUCLEAR","Monitors and reports on project financial health, including margin performance, contingency use, and risk allowances.","Yes","No","3"
"Partners with finance teams to implement cost control...","c9d","NUCLEAR-COMP-FINANCIAL-ACUMEN","NUCLEAR-COMP","NUCLEAR","Partners with finance teams to implement cost control mechanisms and identify value engineering opportunities.","Yes","No","4"
"Drives decisions that ensure sustainable profitability...","c9e","NUCLEAR-COMP-FINANCIAL-ACUMEN","NUCLEAR-COMP","NUCLEAR","Drives decisions that ensure sustainable profitability across the project lifecycle.","Yes","No","5"
"Establishes and sustains trust-based relationships with...","c10a","NUCLEAR-COMP-RELATIONSHIP-BUILDING","NUCLEAR-COMP","NUCLEAR","Establishes and sustains trust-based relationships with internal teams, clients, vendors, Indigenous partners, and community stakeholders.","Yes","No","1"
"Ability to work within teams that include, JV partners,...","c10b","NUCLEAR-COMP-RELATIONSHIP-BUILDING","NUCLEAR-COMP","NUCLEAR","Ability to work within teams that include, JV partners, subcontractor and clients.","Yes","No","2"
"Navigates competing interests to preserve long-term...","c10c","NUCLEAR-COMP-RELATIONSHIP-BUILDING","NUCLEAR-COMP","NUCLEAR","Navigates competing interests to preserve long-term relationships without compromising project performance.","Yes","No","3"
"Leverages professional networks to solve challenges,...","c10d","NUCLEAR-COMP-RELATIONSHIP-BUILDING","NUCLEAR-COMP","NUCLEAR","Leverages professional networks to solve challenges, influence outcomes, and secure project success.","Yes","No","4"
"Resolves conflicts constructively while maintaining...","c10e","NUCLEAR-COMP-RELATIONSHIP-BUILDING","NUCLEAR-COMP","NUCLEAR","Resolves conflicts constructively while maintaining positive working relationships across disciplines.","Yes","No","5"
"Develops and executes engagement strategies for external...","c11a","NUCLEAR-COMP-STAKEHOLDER-ENGAGEMENT","NUCLEAR-COMP","NUCLEAR","Develops and executes engagement strategies for external stakeholders including government bodies, local communities, and special interest groups.","Yes","No","1"
"Manages internal stakeholder expectations through clear...","c11b","NUCLEAR-COMP-STAKEHOLDER-ENGAGEMENT","NUCLEAR-COMP","NUCLEAR","Manages internal stakeholder expectations through clear communication, responsiveness, and inclusion in decision-making.","Yes","No","2"
"Leads effective stakeholder meetings, workshops, and...","c11c","NUCLEAR-COMP-STAKEHOLDER-ENGAGEMENT","NUCLEAR-COMP","NUCLEAR","Leads effective stakeholder meetings, workshops, and consultations with diverse stakeholders to foster collaboration and transparency.","Yes","No","3"
"Demonstrates strong political and organizational...","c11d","NUCLEAR-COMP-STAKEHOLDER-ENGAGEMENT","NUCLEAR-COMP","NUCLEAR","Demonstrates strong political and organizational awareness when navigating complex stakeholder landscapes.","Yes","No","4"
"Strong negotiation and conflict resolution skills to...","c11e","NUCLEAR-COMP-STAKEHOLDER-ENGAGEMENT","NUCLEAR-COMP","NUCLEAR","Strong negotiation and conflict resolution skills to address stakeholder concerns.","Yes","No","5"
"Builds strong, trust-based relationships with clients,...","c12a","NUCLEAR-COMP-CLIENT-FOCUS","NUCLEAR-COMP","NUCLEAR","Builds strong, trust-based relationships with clients, ensuring transparent communication and alignment on expectations from project initiation to closeout.","Yes","No","1"
